"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 28 11:58:09 GMT 2023","Fri Apr 28 12:00:32 GMT 2023","143291","","03. Casos de prueba sobre la parte de login de El País","","CP02. Hacer login con Facebook en la aplicación","","CP02. Hacer login con Facebook en la aplicación",""
"passed","Fri Apr 28 12:03:46 GMT 2023","Fri Apr 28 12:04:40 GMT 2023","53961","","05. Casos de prueba sobre la portada de El País","","CP01. Acceder a la primera noticia premium","","CP01. Acceder a la primera noticia premium",""
"passed","Fri Apr 28 12:22:49 GMT 2023","Fri Apr 28 12:24:13 GMT 2023","83268","","09. Casos de prueba sobre un artículo de El País","","CP08. Acceder a otra noticia del autor del artículo","","CP08. Acceder a otra noticia del autor del artículo",""
"passed","Fri Apr 28 12:00:32 GMT 2023","Fri Apr 28 12:02:06 GMT 2023","93509","","04. Casos de prueba sobre una cuenta válida de El País","","CP01. Comprobar la opción de mis datos en el menú de usuario","","CP01. Comprobar la opción de mis datos en el menú de usuario",""
"passed","Fri Apr 28 12:11:51 GMT 2023","Fri Apr 28 12:13:15 GMT 2023","83691","","08. Casos de prueba sobre la Hemeroteca de El País","","CP01. Acceder en la hemeroteca a la edición del día indicado","","CP01. Acceder en la hemeroteca a la edición del día indicado",""
"failed","Fri Apr 28 12:14:22 GMT 2023","Fri Apr 28 12:15:56 GMT 2023","94463","","09. Casos de prueba sobre un artículo de El País","","CP02. Acceder a la pantalla de suscripción desde los comentarios de la primera noticia","","CP02. Acceder a la pantalla de suscripción desde los comentarios de la primera noticia",""
"passed","Fri Apr 28 11:53:31 GMT 2023","Fri Apr 28 11:54:36 GMT 2023","65501","","01. Casos de prueba sobre la cabecera de El País","","CP03. Acceder a la sección Madrid desde el menú hamburguesa","","CP03. Acceder a la sección Madrid desde el menú hamburguesa",""
"passed","Fri Apr 28 12:20:30 GMT 2023","Fri Apr 28 12:21:47 GMT 2023","77441","","09. Casos de prueba sobre un artículo de El País","","CP06. Acceder a un artículo dentro de la sección de más información","","CP06. Acceder a un artículo dentro de la sección de más información",""
"passed","Fri Apr 28 11:56:50 GMT 2023","Fri Apr 28 11:58:09 GMT 2023","79517","","03. Casos de prueba sobre la parte de login de El País","","CP01. Hacer login con correo y contraseña en la aplicación","","CP01. Hacer login con correo y contraseña en la aplicación",""
"passed","Fri Apr 28 12:07:40 GMT 2023","Fri Apr 28 12:08:29 GMT 2023","48761","","06. Casos de prueba sobre el menú inferior de El País","","CP01. Acceder a la sección sorteos del menú de servicios","","CP01. Acceder a la sección sorteos del menú de servicios",""
"failed","Fri Apr 28 11:52:01 GMT 2023","Fri Apr 28 11:53:31 GMT 2023","89809","","01. Casos de prueba sobre la cabecera de El País","","CP02. Acceder al apartado de suscripciones desde el menú hamburguesa","","CP02. Acceder al apartado de suscripciones desde el menú hamburguesa",""
"passed","Fri Apr 28 12:06:11 GMT 2023","Fri Apr 28 12:07:40 GMT 2023","88368","","05. Casos de prueba sobre la portada de El País","","CP03. Reproducir primer video del carrusel de videos","","CP03. Reproducir primer video del carrusel de videos",""
"passed","Fri Apr 28 12:08:29 GMT 2023","Fri Apr 28 12:09:18 GMT 2023","49723","","06. Casos de prueba sobre el menú inferior de El País","","CP02. Acceder a la sección Aviso legal del último menú inferior","","CP02. Acceder a la sección Aviso legal del último menú inferior",""
"passed","Fri Apr 28 12:10:08 GMT 2023","Fri Apr 28 12:11:51 GMT 2023","103174","","07. Casos de prueba sobre el buscador de El País","","CP01. Buscar la cadena de texto Felipe González en el buscador","","CP01. Buscar la cadena de texto Felipe González en el buscador",""
"passed","Fri Apr 28 12:15:56 GMT 2023","Fri Apr 28 12:17:34 GMT 2023","97399","","09. Casos de prueba sobre un artículo de El País","","CP03. Acceder a los comentarios de la primera noticia con una sesión iniciada","","CP03. Acceder a los comentarios de la primera noticia con una sesión iniciada",""
