"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 04 19:30:09 GMT 2023","Thu May 04 19:30:48 GMT 2023","39118","","04. Casos de prueba sobre la publicidad de un artículo de Diario AS","","CP04. Carga de contenedor de tipo BTN1 en el artículo","","CP04. Carga de contenedor de tipo BTN1 en el artículo",""
"passed","Thu May 04 19:37:24 GMT 2023","Thu May 04 19:38:22 GMT 2023","58144","","05. Casos de prueba sobre un artículo de Diario AS","","CP06. Acceder al registro con Google desde los comentarios de la primera noticia","","CP06. Acceder al registro con Google desde los comentarios de la primera noticia",""
"passed","Thu May 04 19:33:47 GMT 2023","Thu May 04 19:35:01 GMT 2023","74246","","05. Casos de prueba sobre un artículo de Diario AS","","CP03. Acceder al login con Google desde los comentarios de la primera noticia","","CP03. Acceder al login con Google desde los comentarios de la primera noticia",""
"passed","Thu May 04 19:31:26 GMT 2023","Thu May 04 19:32:21 GMT 2023","55705","","05. Casos de prueba sobre un artículo de Diario AS","","CP01. Acceder al login desde los comentarios de la primera noticia","","CP01. Acceder al login desde los comentarios de la primera noticia",""
"failed","Thu May 04 19:38:22 GMT 2023","Thu May 04 19:39:40 GMT 2023","77450","","06. Casos de prueba sobre la parte de login de Diario AS","","CP01. Hacer login con correo y contraseña en la aplicación","","CP01. Hacer login con correo y contraseña en la aplicación",""
"failed","Thu May 04 19:30:48 GMT 2023","Thu May 04 19:31:26 GMT 2023","37987","","04. Casos de prueba sobre la publicidad de un artículo de Diario AS","","CP05. Carga de contenedor de tipo INTEXT en el artículo","","CP05. Carga de contenedor de tipo INTEXT en el artículo",""
"failed","Thu May 04 19:16:32 GMT 2023","Thu May 04 19:18:19 GMT 2023","107277","","01. Casos de prueba sobre la publicidad de la portada de Diario AS","","CP01. Carga del contenedor de tipo STICKY en la portada","","CP01. Carga del contenedor de tipo STICKY en la portada",""
"failed","Thu May 04 19:20:07 GMT 2023","Thu May 04 19:20:58 GMT 2023","51006","","01. Casos de prueba sobre la publicidad de la portada de Diario AS","","CP03. Carga del contenedor MPU2 en la portada","","CP03. Carga del contenedor MPU2 en la portada",""
"passed","Thu May 04 19:21:49 GMT 2023","Thu May 04 19:23:05 GMT 2023","76717","","02. Casos de prueba sobre la portada de Diario AS","","CP01. Reproducción de video en una noticia de la portada","","CP01. Reproducción de video en una noticia de la portada",""
"passed","Thu May 04 19:32:21 GMT 2023","Thu May 04 19:33:47 GMT 2023","85531","","05. Casos de prueba sobre un artículo de Diario AS","","CP02. Acceder al login con Facebook desde los comentarios de la primera noticia","","CP02. Acceder al login con Facebook desde los comentarios de la primera noticia",""
"passed","Thu May 04 19:23:53 GMT 2023","Thu May 04 19:24:42 GMT 2023","48927","","03. Casos de prueba sobre la cabecera de Diario AS","","CP01. Cambiar la edición y el contenido a Colombia","","CP01. Cambiar la edición y el contenido a Colombia",""
"passed","Thu May 04 19:23:05 GMT 2023","Thu May 04 19:23:53 GMT 2023","48017","","02. Casos de prueba sobre la portada de Diario AS","","CP02. Acceso a primera noticia de la portada","","CP02. Acceso a primera noticia de la portada",""
"failed","Thu May 04 19:40:56 GMT 2023","Thu May 04 19:42:49 GMT 2023","112598","","07. Casos de prueba sobre la parte de registro de Diario AS","","CP01. Crear registro en la aplicación de AS","","CP01. Crear registro en la aplicación de AS",""
"passed","Thu May 04 19:35:01 GMT 2023","Thu May 04 19:35:57 GMT 2023","55415","","05. Casos de prueba sobre un artículo de Diario AS","","CP04. Acceder al registro desde los comentarios de la primera noticia","","CP04. Acceder al registro desde los comentarios de la primera noticia",""
"passed","Thu May 04 19:26:32 GMT 2023","Thu May 04 19:27:24 GMT 2023","52323","","04. Casos de prueba sobre la publicidad de un artículo de Diario AS","","CP01. Carga de contenedor de tipo STICKY en el artículo","","CP01. Carga de contenedor de tipo STICKY en el artículo",""
"failed","Thu May 04 19:39:40 GMT 2023","Thu May 04 19:40:56 GMT 2023","76311","","06. Casos de prueba sobre la parte de login de Diario AS","","CP02. Hacer login con Facebook en la aplicación","","CP02. Hacer login con Facebook en la aplicación",""
"passed","Thu May 04 19:25:39 GMT 2023","Thu May 04 19:26:32 GMT 2023","52013","","03. Casos de prueba sobre la cabecera de Diario AS","","CP03. Visualizar la clasificación de la Liga Santander","","CP03. Visualizar la clasificación de la Liga Santander",""
